Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
942,,AS20221984,DWHC,04-10-2022,DateFound,Eurasian Reed Warbler,Kleine Karekiet,Acrocephalus scirpaceus,Sylviidae,Passeriformes,Boxtel,Brabant,51.6,5.32,0,TRUE
943,,AS20222345,DWHC,06-10-2022,DateFound,Rock Pigeon,Postduif,Columba livia domestica,Columbidae,Columbiformes,Maastricht,Limburg,50.85,5.71,0,TRUE
944,,AS20222302,DWHC,12-10-2022,DateFound,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,Utrecht,Utrecht,52.34,4.88,0,TRUE
945,,AS20222288,DWHC,13-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Katwijk,Z-Holland,52.2,4.41,0,TRUE
946,,AS20222326,DWHC,13-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Bleskensgraaf,Z-Holland,51.87,4.78,0,TRUE
947,,AS20222316,DWHC,20-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Nieuwerkerk aan de Ijssel,Utrecht,51.95,4.61,0,TRUE
948,,AS20222350,DWHC,20-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,De Meern,Utrecht,52.08,5.02,0,TRUE
949,,AS20222298,DWHC,24-10-2022,DateFound,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Leeuwarden,Friesland,53.17,5.8,0,TRUE
950,,AS20222311,DWHC,25-10-2022,DateFound,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Wadenoijen,Gelderland,51.87,5.37,0,TRUE
951,,AS20222355,DWHC,26-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Doesburg,Gelderland,52,6.12,0,TRUE
952,,AS20222309,DWHC,31-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Hoef en Haag,Utrecht,52.08,5.19,0,TRUE
953,,AS20222304,DWHC,31-10-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Heeze,Brabant,51.37,5.55,0,TRUE
954,,AS20222284,DWHC,31-10-2022,DateFound,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Den bosch,Brabant,51.73,5.33,0,TRUE
955,,AS20222340,DWHC,01-11-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zwolle,Overijssel,52.48,6.1,0,TRUE
956,,AS20222330,DWHC,01-11-2022,DateFound,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Nuenen,Brabant,51.47,5.56,0,TRUE
957,,AS20222293,DWHC,31-10-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Son en Breugel,Brabant,51.53,5.48,0,TRUE
958,,AS20222335,DWHC,01-11-2022,DateFound,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Peize,Drenthe,53.18,6.5,0,TRUE
959,,AS20222321,DWHC,02-11-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Oosterhout,Brabant,51.65,4.86,0,TRUE
