,ID,capture.date,English,Dutch,Latin,family,order,Lat,Long,PMA.USUV.Ab6000,PMA.WNV.Ab6000,VNT.USUV,VNT.WNV,FRNT.USUV,FRNT.WNV,SeroResult,BirdId
2394,21TV3823,21-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.12107849,5.006440163,0,0,NA,NA,NA,NA,NA,12719859
2395,21TV4424,21-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.12107849,5.006440163,0,0,NA,NA,NA,NA,NA,12719847
2396,21TV3856,22-07-2021,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,52.09551239,5.012534142,0,0,NA,NA,NA,NA,NA,12719885
2397,21TV2799,23-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.34310038,4.524650574,0,0,NA,NA,NA,NA,NA,12610330
2398,21TV3924,25-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,0,0,NA,NA,NA,NA,NA,12718485
2399,21TV3925,25-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,0,0,NA,NA,NA,NA,NA,12719951
2400,21TV4384,25-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,12719954
2401,21TV4396,25-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,0,0,NA,NA,NA,NA,NA,12719953
2402,21TV4399,25-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,1,0,NA,NA,20,20,Negative,12719952
2403,21TV4400,25-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,0,0,NA,NA,NA,NA,NA,12719490
